date,open,high,low,close,volume,ema7,ema17,enter_tag,support,resistance,enter_long
2024-05-08 12:00:00+00:00,62243.4,62828.0,61761.0,62273.08,6158.24711,62608.306877574985,62921.80831777193,,0.0,0.0,
2024-05-08 16:00:00+00:00,62273.07,62760.0,61949.42,62179.45,3301.14049,62501.09265818124,62839.32406024171,,0.0,0.0,
2024-05-08 20:00:00+00:00,62179.45,62248.84,60888.0,61193.03,5950.62384,62174.07699363593,62656.40249799263,,60888.0,0.0,
2024-05-09 00:00:00+00:00,61193.03,61806.98,61144.33,61680.4,2721.61729,62050.65774522695,62547.957775993455,,0.0,0.0,
2024-05-09 04:00:00+00:00,61680.4,61780.6,61129.0,61253.16,2905.35223,61851.28330892021,62404.09135643863,,0.0,0.0,
2024-05-09 08:00:00+00:00,61253.16,61447.06,60630.0,61053.99,5362.37094,61651.95998169016,62254.080094612116,,60630.0,0.0,
2024-05-09 12:00:00+00:00,61053.99,62285.0,60882.19,62159.06,8288.33478,61778.73498626762,62243.52230632188,,0.0,0.0,
2024-05-09 16:00:00+00:00,62159.06,62668.67,61750.0,62454.92,6281.25123,61947.781239700715,62267.01093895278,,0.0,0.0,
2024-05-09 20:00:00+00:00,62454.92,63429.03,62346.36,63074.01,5101.87963,62229.33842977554,62356.67750129136,,0.0,63429.03,
2024-05-10 00:00:00+00:00,63074.0,63094.01,62662.07,62916.16,2735.78507,62401.04382233166,62418.8422233701,,0.0,0.0,
2024-05-10 04:00:00+00:00,62916.16,63380.0,62660.42,63078.02,4829.47839,62570.287866748746,62492.0841985512,,0.0,0.0,1.0
2024-05-10 08:00:00+00:00,63078.01,63320.0,62800.0,63299.63,3172.4998,62752.62340006156,62581.81150982329,,0.0,0.0,
2024-05-10 12:00:00+00:00,63299.63,63469.13,60690.0,60928.02,13444.88923,62296.472550046165,62398.0568976207,,0.0,63469.13,
2024-05-10 16:00:00+00:00,60928.02,61294.82,60187.12,60716.97,9448.65481,61901.596912534624,62211.26946455173,,60187.12,0.0,
2024-05-10 20:00:00+00:00,60716.96,61003.0,60456.91,60799.99,2898.03295,61626.19518440097,62054.4606351571,,0.0,0.0,
2024-05-11 00:00:00+00:00,60799.99,61096.27,60650.0,60731.9,2363.19506,61402.62138830073,61907.50945347298,,0.0,0.0,
2024-05-11 04:00:00+00:00,60731.89,61080.0,60712.0,61018.52,1958.49596,61306.596041225544,61808.73284753154,,0.0,0.0,
2024-05-11 08:00:00+00:00,61018.53,61058.75,60487.09,60684.01,2622.23696,61150.949530919155,61683.763642250255,,60487.09,0.0,
2024-05-11 12:00:00+00:00,60684.0,61515.0,60643.94,61174.18,2983.17984,61156.75714818937,61627.143237555785,,0.0,61515.0,
2024-05-11 16:00:00+00:00,61174.18,61410.09,61016.0,61144.0,1958.45382,61153.56786114203,61573.460655605144,,0.0,0.0,
2024-05-11 20:00:00+00:00,61144.01,61154.21,60743.51,60825.99,1489.00772,61071.673395856524,61490.408360537906,,0.0,0.0,
2024-05-12 00:00:00+00:00,60825.99,61104.05,60804.0,60930.0,1266.79428,61036.255046892395,61428.14076492258,,0.0,0.0,
2024-05-12 04:00:00+00:00,60930.01,61120.0,60610.0,60820.0,1414.28916,60982.1912851693,61360.56956882007,,60610.0,0.0,
